,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
56,Cluck Clucks Chicken & Waffles - Mississauga,ChIJAcuwCj4_K4gRfn211sdUzQM,43.6339107,-79.6877016,4.8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","70 World Dr, Mississauga"
19,CHAR'D Grill,ChIJs5VbU6FHK4gRh4R37LEnDkA,43.6158527,-79.6179741,4.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","925 Rathburn Rd E Unit C3, Mississauga"
43,Oliver’s Pizza & Donair (HALAL) Halifax Style Donair,ChIJF2mOVexHK4gR-YZ5xFjeTeo,43.5883869,-79.6062099,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","400 Dundas St E, Mississauga"
38,Burger Factory,ChIJ8R7bgpY4K4gRYjqHge_ecHQ,43.6370724,-79.6236973,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd, Mississauga"
3,Haze Lounge,ChIJZcmy8zBHK4gR1zxiaBUsqUo,43.5998183,-79.64025409999999,4.5,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","4230 Sherwoodtowne Blvd Unit #100, Mississauga"
9,Lezzet Shawarma Falafel House,ChIJxy-8YYA4K4gR_baRdYjNSQE,43.6243957,-79.60680479999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","4120 Dixie Rd, Mississauga"
37,ChickQueen,ChIJC28-9-U5K4gR7jSeUIeQJM8,43.6370096,-79.62375639999999,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd Unit #4, Mississauga"
32,Pizza Shab Mississauga,ChIJ_1RX2a5HK4gRKS7Wazl6Zr0,43.57980389999999,-79.61352339999999,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","35 King St E Unit 20, Mississauga"
52,Shawarma Mazaya,ChIJi4hcjJY4K4gRZuwYfpY6sL0,43.636876,-79.62395,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd unit 6, Mississauga"
36,Tangritah Uyghur Kabab House,ChIJe3kNOpJBK4gRJKYB2ntBl9w,43.5777587,-79.6615142,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","900 Rathburn Rd W D3, Mississauga"
